04/04/2024 12:20:50 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='159', fec_anu=getdate() WHERE conse='3322' AND tipo='2' AND ano='2024' # 
04/04/2024 12:23:18 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='236', fec_anu=getdate() WHERE conse='3229' AND tipo='2' AND ano='2024' # 
04/04/2024 12:45:24 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='321', fec_anu=getdate() WHERE conse='3327' AND tipo='2' AND ano='2024' # 
04/04/2024 13:35:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='324', fec_anu=getdate() WHERE conse='3309' AND tipo='2' AND ano='2024' # 
04/04/2024 14:06:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='150', fec_anu=getdate() WHERE conse='3300' AND tipo='2' AND ano='2024' # 
04/04/2024 14:06:27 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='150', fec_anu=getdate() WHERE conse='3304' AND tipo='1' AND ano='2024' # 
04/04/2024 14:13:34 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='21', fec_anu=getdate() WHERE conse='3251' AND tipo='2' AND ano='2024' # 
04/04/2024 14:34:02 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='21', fec_anu=getdate() WHERE conse='3252' AND tipo='2' AND ano='2024' # 
04/04/2024 14:37:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='320', fec_anu=getdate() WHERE conse='3342' AND tipo='2' AND ano='2024' # 
04/04/2024 14:40:30 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='126', fec_anu=getdate() WHERE conse='3338' AND tipo='2' AND ano='2024' # 
04/04/2024 15:05:01 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='188', fec_anu=getdate() WHERE conse='3334' AND tipo='2' AND ano='2024' # 
