02/08/2024 17:00:58 pm # 2024-08-02 17:00:58 # 20240901 17:00:58 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'QVT098', '20240901 17:00:58', 'A') # TRANSP2_DIADI # 
02/08/2024 18:55:27 pm # 2024-08-02 18:55:27 # 20240901 18:55:27 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'YBK015', '20240901 18:55:27', 'A') # TRANSP2_DIADI # 
02/08/2024 18:58:14 pm # 2024-08-02 18:58:14 # 20240901 18:58:14 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIW973', '20240901 18:58:14', 'A') # TRANSP2_DIADI # 
05/08/2024 11:51:40 am # 2024-08-05 11:51:40 # 20240904 11:51:40 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'EAN029', '20240904 11:51:40', 'A') # TRANSP2_DIADI # 
05/08/2024 15:57:19 pm # 2024-08-05 15:57:19 # 20240904 15:57:19 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX944', '20240904 15:57:19', 'A') # DRODRIGUE_DIADI # 
13/08/2024 10:25:48 am # 2024-08-13 10:25:48 # 20240912 10:25:48 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIY805', '20240912 10:25:48', 'A') # TRANSP2_DIADI # 
14/08/2024 15:52:44 pm # 2024-08-14 15:52:44 # 20240913 15:52:44 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20240913 15:52:44', 'A') # TRANSP2_DIADI # 
16/08/2024 14:01:52 pm # 2024-08-16 14:01:52 # 20240915 14:01:52 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ADM_SIGAR', 'DBD032', '20240915 14:01:52', 'A') # ADM_SIGAR # 
06/09/2024 07:45:13 am # 2024-09-06 07:45:13 # 20241006 07:45:13 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'JID991', '20241006 07:45:13', 'A') # TRANSP2_DIADI # 
06/09/2024 15:21:41 pm # 2024-09-06 15:21:41 # 20241006 15:21:41 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ADM_SIGAR', 'FDZ046', '20241006 15:21:41', 'A') # ADM_SIGAR # 
