29/05/2024 09:49:41 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('820', 'ADM_SIGAR', '1', '4', '2024', '2737831541.63', '0', '0', '0', '2737831541.63', '###', '###', '###', '1') # 
29/05/2024 09:50:20 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('821', 'ADM_SIGAR', '1', '4', '2024', '6108260.4', '0', '0', '0', '6108260.4', '###', '###', '###', '2') # 
29/05/2024 09:50:38 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('822', 'ADM_SIGAR', '1', '4', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '3') # 
29/05/2024 11:59:23 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('823', 'SGA_DIV7', '212', '4', '2024', '2369200', '0', '0', '0', '2369200', '###', '###', '###', '1') # 
31/05/2024 09:29:53 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('824', 'SGA_CEC', '290', '5', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '1') # 
01/06/2024 08:42:49 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('825', 'SGA_DIV2', '87', '5', '2024', '2761972.86', '0', '0', '0', '2761972.86', '###', '###', '###', '1') # 
01/06/2024 09:37:07 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('826', 'SGA_DIV4', '141', '5', '2024', '8877683.74', '0', '0', '0', '8877683.74', '###', '###', '###', '1') # 
01/06/2024 10:07:47 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('827', 'SGA_FUDRA2', '280', '5', '2024', '1211600', '0', '0', '0', '1211600', '###', '###', '###', '1') # 
01/06/2024 11:54:37 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('828', 'SGA_DIV8', '248', '5', '2024', '812851', '0', '0', '0', '812851', '###', '###', '###', '1') # 
01/06/2024 12:55:35 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('829', 'SGA_DIV3', '116', '5', '2024', '5216491', '0', '0', '0', '5216491', '###', '###', '###', '1') # 
01/06/2024 18:34:25 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('830', 'SGR_BRCIM1', '40', '5', '2024', '16562568.68', '0', '0', '0', '16562568.68', '###', '###', '###', '1') # 
02/06/2024 11:17:24 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('831', 'SGA_DIV6', '190', '11', '2023', '580000', '0', '0', '0', '580000', '###', '###', '###', '1') # 
02/06/2024 21:50:02 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('832', 'SGA_DIV5', '157', '5', '2024', '2207194', '0', '0', '0', '2207194', '###', '###', '###', '1') # 
