19/03/2024 13:54:04 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 14:08:15 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 14:41:33 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='33' OR usuario LIKE '%BAIMI5%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 14:48:50 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 15:21:28 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 16:15:48 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='212' OR usuario LIKE '%DIV07%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
19/03/2024 16:53:29 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='8' OR usuario LIKE '%CAIMI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 06:58:25 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 08:25:20 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 09:02:43 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 09:11:01 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 09:48:40 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 11:03:05 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='31' OR usuario LIKE '%BAIMI3%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 11:04:16 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='31' OR usuario LIKE '%BAIMI3%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 11:12:36 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='31' OR usuario LIKE '%BAIMI3%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 11:13:37 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='31' OR usuario LIKE '%BAIMI3%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 11:17:09 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='31' OR usuario LIKE '%BAIMI3%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
20/03/2024 11:30:01 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
